=== SYSTEM RECON REPORT ===
Generated on: 2026-02-02 11:14:02.897926

Operating System: Windows 11
Hostname: Thinesh
IP Address: 10.130.8.32

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
dwm.exe                      14208 Console                    3    156,132 K
fontdrvhost.exe              16800 Console                    3      8,384 K
NVDisplay.Container.exe      15872 Console                    3     44,320 K
nvcontainer.exe              21348 Console                    3     41,348 K
svchost.exe                  18300 Services                   0      7,720 K
svchost.exe                  11124 Services                   0     12,012 K
ipf_helper.exe                5004 Console                    3     10,668 K
svchost.exe                  15572 Services                   0     13,820 K
nvcontainer.exe              13048 Console                    3     33,024 K
sihost.exe                    7200 Console                    3     49,388 K
nvcontainer.exe              14004 Console                    3     75,536 K
svchost.exe                  10112 Console                    3     38,296 K
svchost.exe                   5512 Console                    3     11,532 K
svchost.exe                   8008 Console                    3     37,028 K
OmApSvcBroker.exe            20120 Console                    3      9,048 K
LEDKeeper2.exe               14256 Console                    3     46,716 K
explorer.exe                 12660 Console                    3    365,100 K
taskhostw.exe                14284 Console                    3     25,148 K
ShellHost.exe                15276 Console                    3     48,972 K
CrossDeviceResume.exe        17284 Console                    3     62,320 K
svchost.exe                   2104 Console                    3     29,924 K
WidgetBoard.exe               9816 Console                    3     97,492 K
SearchHost.exe                7968 Console                    3    169,832 K
StartMenuExperienceHost.e    20504 Console                    3    162,556 K
svchost.exe                   3020 Console                    3     24,928 K
WidgetService.exe            11344 Console                    3     30,280 K
svchost.exe                   7908 Services                   0     16,136 K
MSI.TerminalServer.exe       15844 Console                    3      8,260 K
msedgewebview2.exe           22448 Console                    3      7,132 K
msedgewebview2.exe           21600 Console                    3      9,372 K
MicrosoftStartFeedProvide    18712 Console                    3     44,028 K
msedgewebview2.exe           13676 Console                    3      1,544 K
msedgewebview2.exe           11040 Console                    3      4,280 K
nvsphelper64.exe             14148 Console                    3     15,844 K
NVIDIA Overlay.exe           13616 Console                    3    131,636 K
ctfmon.exe                   13696 Console                    3     36,304 K
LockApp.exe                  16344 Console                    3    105,820 K
msedgewebview2.exe           11836 Console                    3         16 K
msedgewebview2.exe           12200 Console                    3        772 K
RuntimeBroker.exe            12596 Console                    3     39,352 K
svchost.exe                  18008 Console                    3     22,424 K
NVIDIA Overlay.exe           15336 Console                    3     47,444 K
NVIDIA Overlay.exe           14688 Console                    3     35,072 K
SpotifyWidgetProvider.exe     3964 Console                    3     36,160 K
crashpad_handler.exe         17088 Console                    3      8,252 K
NVIDIA Overlay.exe           16712 Console                    3     22,396 K
NVIDIA Overlay.exe           14576 Console                    3     77,396 K
NahimicSvc64.exe             18752 Console                    3      9,660 K
NahimicSvc32.exe              6980 Console                    3      4,728 K
NahimicAPO4Volume.exe         2644 Console                    3      9,128 K
TextInputHost.exe            10700 Console                    3     88,720 K
ApplicationFrameHost.exe     15608 Console                    3     42,612 K
svchost.exe                   4032 Console                    3     14,736 K
UserOOBEBroker.exe           18552 Console                    3     11,796 K
nahimicNotifSys.exe          18248 Console                    3     48,376 K
chrome.exe                    6812 Console                    3    284,040 K
chrome.exe                   16020 Console                    3     11,484 K
chrome.exe                   22440 Console                    3    359,472 K
chrome.exe                   15032 Console                    3     59,940 K
chrome.exe                    7056 Console                    3     21,480 K
chrome.exe                   22016 Console                    3     60,284 K
chrome.exe                    2996 Console                    3     58,012 K
chrome.exe                   17464 Console                    3    532,812 K
chrome.exe                    9732 Console                    3    438,364 K
chrome.exe                   18616 Console                    3     42,728 K
chrome.exe                    5296 Console                    3     23,872 K
chrome.exe                    9636 Console                    3     81,444 K
chrome.exe                    2312 Console                    3     50,304 K
chrome.exe                    2168 Console                    3    404,264 K
svchost.exe                   6892 Console                    3     15,884 K
chrome.exe                   16504 Console                    3    112,940 K
WindowsPackageManagerServ    20808 Console                    3     37,696 K
AppVShNotify.exe             19972 Console                    3     11,416 K
SearchIndexer.exe             6400 Services                   0     37,824 K
backgroundTaskHost.exe       21432 Console                    3     53,960 K
RuntimeBroker.exe            10124 Console                    3     28,612 K
